# code;supercategories;catalogversion
2063;INVERTER_9000_10500:centralArProductCatalog:Staged,INVERTER_SAMSUNG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2063;INVERTER_9000_10500:centralArProductCatalog:Online,INVERTER_SAMSUNG:centralArProductCatalog:Online;centralArProductCatalog:Online
2064;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2064;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
2096;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2096;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
2097;INVERTER_9000_10500:centralArProductCatalog:Staged,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2097;INVERTER_9000_10500:centralArProductCatalog:Online,INVERTER_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
2110;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2110;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
2111;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2111;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
2127;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_LG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2127;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_LG:centralArProductCatalog:Online;centralArProductCatalog:Online
2128;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_LG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2128;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_LG:centralArProductCatalog:Online;centralArProductCatalog:Online
2129;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_LG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2129;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_LG:centralArProductCatalog:Online;centralArProductCatalog:Online
2144;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_SAMSUNG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2144;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_SAMSUNG:centralArProductCatalog:Online;centralArProductCatalog:Online
2145;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2145;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2146;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2146;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2152;SPLIT_17000_18000:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
