# code;@EAN_CODE;@WIDTH;@HEIGHT;@DEPTH;@GROSS_WEIGHT;catalogVersion
Evaporadora_2146;7891129264816;840;280;220;11;centralArProductCatalog:Online
Evaporadora_2152;7891129265059;930;330;240;12;centralArProductCatalog:Staged
Evaporadora_2152;7891129265059;930;330;240;12;centralArProductCatalog:Online
Evaporadora_2153;7891129265042;840;280;220;9;centralArProductCatalog:Staged
Evaporadora_2153;7891129265042;840;280;220;9;centralArProductCatalog:Online
Evaporadora_2154;7891129264809;770;280;220;8;centralArProductCatalog:Staged
Evaporadora_2154;7891129264809;770;280;220;8;centralArProductCatalog:Online
Evaporadora_2155;7891129265028;1110;330;240;13;centralArProductCatalog:Staged
Evaporadora_2155;7891129265028;1110;330;240;13;centralArProductCatalog:Online
Evaporadora_2156;7891129265011;930;330;240;12;centralArProductCatalog:Staged
Evaporadora_2156;7891129265011;930;330;240;12;centralArProductCatalog:Online
Evaporadora_2157;7891129265004;840;280;220;9;centralArProductCatalog:Staged
Evaporadora_2157;7891129265004;840;280;220;9;centralArProductCatalog:Online
Evaporadora_2158;7891129264991;770;280;220;8;centralArProductCatalog:Staged
Evaporadora_2158;7891129264991;770;280;220;8;centralArProductCatalog:Online
Evaporadora_2159;7891129264892;1100;330;240;13;centralArProductCatalog:Staged
Evaporadora_2159;7891129264892;1100;330;240;13;centralArProductCatalog:Online
Evaporadora_2161;7891129264571;790;280;220;9;centralArProductCatalog:Staged
Evaporadora_2161;7891129264571;790;280;220;9;centralArProductCatalog:Online
Evaporadora_2162;7891129264564;790;280;220;9;centralArProductCatalog:Staged
Evaporadora_2162;7891129264564;790;280;220;9;centralArProductCatalog:Online
Evaporadora_2163;7891129264809;840;280;220;11;centralArProductCatalog:Staged
Evaporadora_2163;7891129264809;840;280;220;11;centralArProductCatalog:Online
Evaporadora_2164;7891129264847;930;330;240;12;centralArProductCatalog:Staged
Evaporadora_2164;7891129264847;930;330;240;12;centralArProductCatalog:Online
Evaporadora_2165;7891129264885;1100;330;240;13;centralArProductCatalog:Staged
Evaporadora_2165;7891129264885;1100;330;240;13;centralArProductCatalog:Online
Evaporadora_2166;7891129265066;1110;330;240;13;centralArProductCatalog:Staged
Evaporadora_2166;7891129265066;1110;330;240;13;centralArProductCatalog:Online
Evaporadora_2168;7898461967825;800;340;200;7,7;centralArProductCatalog:Staged
Evaporadora_2168;7898461967825;800;340;200;7,7;centralArProductCatalog:Online
Evaporadora_2173;7898957911240;770;285;225;8;centralArProductCatalog:Staged
Evaporadora_2173;7898957911240;770;285;225;8;centralArProductCatalog:Online
Evaporadora_2174;7898957911042;770;285;225;8;centralArProductCatalog:Staged
Evaporadora_2174;7898957911042;770;285;225;8;centralArProductCatalog:Online
Evaporadora_2176;7898957911325;990;295;265;13;centralArProductCatalog:Staged
Evaporadora_2176;7898957911325;990;295;265;13;centralArProductCatalog:Online
Evaporadora_2191;4974437338356;998;320;238;13;centralArProductCatalog:Staged
Evaporadora_2191;4974437338356;998;320;238;13;centralArProductCatalog:Online
Evaporadora_2208;7892509099820;1065;298;230;11,2;centralArProductCatalog:Staged
Evaporadora_2208;7892509099820;1065;298;230;11,2;centralArProductCatalog:Online
Evaporadora_2210;7898303868259;713;270;195;8,5;centralArProductCatalog:Staged
Evaporadora_2210;7898303868259;713;270;195;8,5;centralArProductCatalog:Online
Evaporadora_2211;7898303868334;845;289;209;10;centralArProductCatalog:Staged
Evaporadora_2211;7898303868334;845;289;209;10;centralArProductCatalog:Online
Evaporadora_2212;7898303868372;970;300;220;13,5;centralArProductCatalog:Staged
Evaporadora_2212;7898303868372;970;300;220;13,5;centralArProductCatalog:Online
Evaporadora_2213;7898303868419;1078;325;246;16,5;centralArProductCatalog:Staged
Evaporadora_2213;7898303868419;1078;325;246;16,5;centralArProductCatalog:Online
Evaporadora_2215;7898303868396;970;300;224;13,5;centralArProductCatalog:Staged
Evaporadora_2215;7898303868396;970;300;224;13,5;centralArProductCatalog:Online
Evaporadora_2216;7898303868433;1078;325;246;16,5;centralArProductCatalog:Staged
Evaporadora_2216;7898303868433;1078;325;246;16,5;centralArProductCatalog:Online
Evaporadora_2221;7898461967917;695;255;205;7,7;centralArProductCatalog:Staged
Evaporadora_2221;7898461967917;695;255;205;7,7;centralArProductCatalog:Online
Evaporadora_2222;7898461967931;780;250;210;7,57;centralArProductCatalog:Staged
Evaporadora_2222;7898461967931;780;250;210;7,57;centralArProductCatalog:Online
Evaporadora_2223;7898461965456;900;295;225;13;centralArProductCatalog:Staged
Evaporadora_2223;7898461965456;900;295;225;13;centralArProductCatalog:Online
Evaporadora_2224;7898461966712;950;314;243;19;centralArProductCatalog:Staged
Evaporadora_2224;7898461966712;950;314;243;19;centralArProductCatalog:Online
Evaporadora_2225;7898461967924;695;255;205;7,7;centralArProductCatalog:Staged
Evaporadora_2225;7898461967924;695;255;205;7,7;centralArProductCatalog:Online
